study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJEB55595	SAMEA110745307	ERX9652178	ERR10115022	881951	Saguinus imperator subgrisescens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/022/ERR10115022/ERR10115022_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/022/ERR10115022/ERR10115022_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10115022/CZ-MB22_S22_L001_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10115022/CZ-MB22_S22_L001_R2.fastq.gz	
PRJEB55595	SAMEA110745308	ERX9652179	ERR10115023	881951	Saguinus imperator subgrisescens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/023/ERR10115023/ERR10115023_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/023/ERR10115023/ERR10115023_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10115023/CZ-MB24_S24_L001_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10115023/CZ-MB24_S24_L001_R2.fastq.gz	
PRJEB55595	SAMEA110745309	ERX9652180	ERR10115024	9595	Gorilla gorilla gorilla	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/024/ERR10115024/ERR10115024_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/024/ERR10115024/ERR10115024_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10115024/CZ-MB27_S27_L001_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10115024/CZ-MB27_S27_L001_R2.fastq.gz	
PRJEB55595	SAMEA110745310	ERX9652181	ERR10115025	9595	Gorilla gorilla gorilla	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/025/ERR10115025/ERR10115025_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/025/ERR10115025/ERR10115025_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10115025/CZ-MB28_S28_L001_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10115025/CZ-MB28_S28_L001_R2.fastq.gz	
PRJEB55595	SAMEA110745311	ERX9652182	ERR10115026	502961	Pongo abelii x pygmaeus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/026/ERR10115026/ERR10115026_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/026/ERR10115026/ERR10115026_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10115026/CZ-MB29_S29_L001_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10115026/CZ-MB29_S29_L001_R2.fastq.gz	
PRJEB55595	SAMEA110745312	ERX9652183	ERR10115027	9595	Gorilla gorilla gorilla	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/027/ERR10115027/ERR10115027_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/027/ERR10115027/ERR10115027_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10115027/CZ-MB3_S3_L001_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10115027/CZ-MB3_S3_L001_R2.fastq.gz	
PRJEB55595	SAMEA110745313	ERX9652184	ERR10115028	9601	Pongo abelii	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/028/ERR10115028/ERR10115028_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/028/ERR10115028/ERR10115028_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10115028/CZ-MB30_S30_L001_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10115028/CZ-MB30_S30_L001_R2.fastq.gz	
PRJEB55595	SAMEA110745314	ERX9652185	ERR10115029	9601	Pongo abelii	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/029/ERR10115029/ERR10115029_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/029/ERR10115029/ERR10115029_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10115029/CZ-MB32_S32_L001_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10115029/CZ-MB32_S32_L001_R2.fastq.gz	
PRJEB55595	SAMEA110745315	ERX9652186	ERR10115030	36227	Cercopithecus neglectus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/030/ERR10115030/ERR10115030_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/030/ERR10115030/ERR10115030_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10115030/CZ-MB33_S33_L001_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10115030/CZ-MB33_S33_L001_R2.fastq.gz	
PRJEB55595	SAMEA110745316	ERX9652187	ERR10115031	36227	Cercopithecus neglectus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/031/ERR10115031/ERR10115031_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/031/ERR10115031/ERR10115031_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10115031/CZ-MB34_S34_L001_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10115031/CZ-MB34_S34_L001_R2.fastq.gz	
